id,enabled,pin_name,address,city,additional_info,description (add here a one-line description of the place),phone,url,display_url,price,price_cpx,lat,lon,region_kind,region_id,region_name,polygon_geom,image,venue_id,android_deep_link,ios_deep_link,external_ref,monday,tuesday,wednesday,thursday,friday,saturday,sunday,Air conditioning,Valet service,Take-out,Outdoor seating,Wi-Fi,Parking for customers,Credit cards,Reservations,Drive-thru,Delivery,Wheelchair accessible,Restrooms,Location Tag,VERIFICADO?
2559789,TRUE,Cruz Roja Mexicana - Oaxaca,Armenta Y López,Oaxaca De Juárez,,"Hospital, Servicios de Ambulancias",9515164809,https://goo.gl/fhmQmr,Información en Facebook,100,,17.05584526,-96.7251358,,,,,,172556459.1725367978.8256327,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,La Cruz Roja Mexicana,
2560272,TRUE,Cruz Roja de S Cristóbal,Av. Ignacio Allende,San Cristóbal De Las Casas,,,9676780772,https://goo.gl/26gw52,,100,,16.72674942,-92.64076233,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,La Cruz Roja Mexicana,
2574374,TRUE,Zona de derrumbre,Sierravísta Y Río Bamba,Cdmx,,Centro Nacional de Apoyo para Contingencias Epidemiológicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,17.05994,-96.725051,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574375,TRUE,Zona de derrumbre,Laguna De Terminos Y Lago Cultezeo,Cdmx,,Centro Nacional de Apoyo para Contingencias Epidemiológicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.442443,-99.174397,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574376,TRUE,Zona de derrumbre,Av Coyoacan Y Providencia,Cdmx,,Centro Nacional de Apoyo para Contingencias Epidemiológicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.398604,-99.166853,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574377,TRUE,Zona de derrumbre,Escocia Y Nicolas,Cdmx,,Centro Nacional de Apoyo para Contingencias Epidemiológicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.387305,-99.16245,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574378,TRUE,Zona de derrumbre,Eugenia Y Edinburgo,Cdmx,,Centro Nacional de Apoyo para Contingencias Epidemiológicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.386598,-99.163642,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574379,TRUE,Zona de derrumbre,Peten Y Zapata,Cdmx,,Centro Nacional de Apoyo para Contingencias Epidemiológicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.366511,-99.156891,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574380,TRUE,Zona de derrumbre,Gabriel Mancera Y Escocia,Cdmx,,Centro Nacional de Apoyo para Contingencias Epidemiológicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.38766,-99.163934,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574381,TRUE,Zona de derrumbre,Yacatas Y Concepcion Beistegui,Cdmx,,Centro Nacional de Apoyo para Contingencias Epidemiológicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.387366,-99.156062,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
